p:dim_headlayers,p:global_attn_heads,p:hidden_dim,p:mpnn_type,p:num_conv_layers,p:num_headlayers,objective,job_id,job_status,m:timestamp_submit,m:some_info,m:dequed,m:timestamp_gather
32,4,32,PAINN,6,1,-0.0102157,41,DONE,1143.546357,some_value,frontier03199,1537.005511
32,2,32,PAINN,6,2,-0.01059398,29,DONE,725.8584788,some_value,frontier03200,1109.453662
64,2,32,PAINN,6,1,-0.01064812,32,DONE,789.6834912,some_value,frontier02176,1170.396268
64,4,32,PAINN,5,1,-0.01102763,68,DONE,1995.291125,some_value,frontier02176,2349.366032
64,4,32,PAINN,6,1,-0.01104576,33,DONE,814.3517857,some_value,frontier00763,1208.572006
32,2,32,PAINN,4,2,-0.01116821,67,DONE,1965.745929,some_value,frontier03066,2274.685645
32,4,32,PAINN,5,1,-0.01118593,39,DONE,1109.588231,some_value,frontier03200,1463.293935
32,4,32,PAINN,4,1,-0.01120814,46,DONE,1287.060265,some_value,frontier02560,1605.541608
64,2,32,PAINN,5,1,-0.01123533,70,DONE,2036.030773,some_value,frontier00893,2377.987747
64,4,24,PAINN,6,1,-0.01127033,38,DONE,1055.171194,some_value,frontier03066,1446.031457
64,2,32,PAINN,4,2,-0.01127233,79,DONE,2349.669149,some_value,frontier02176,2661.287498
32,4,32,PAINN,6,2,-0.01131677,64,DONE,1816.26923,some_value,frontier03199,2212.235794
32,2,32,PAINN,5,1,-0.01136927,71,DONE,2084.413725,some_value,frontier02560,2431.158059
32,2,24,PAINN,5,2,-0.0114184,100,DONE,3005.566218,some_value,frontier00893,3351.681671
32,4,24,PAINN,6,1,-0.01146535,42,DONE,1149.730121,some_value,frontier02047,1540.624875
64,4,24,PAINN,6,2,-0.01153275,19,DONE,418.9543138,some_value,frontier00763,814.2168372
64,2,32,PAINN,5,2,-0.01155355,85,DONE,2494.17124,some_value,frontier02047,2843.955988
32,4,32,PAINN,4,2,-0.01162793,48,DONE,1446.177933,some_value,frontier03066,1762.747808
64,2,24,PAINN,6,2,-0.01173207,7,DONE,0.060752153,some_value,frontier03067,407.9558191
64,4,32,PAINN,6,2,-0.01177217,27,DONE,660.3720875,some_value,frontier00893,1054.080972
32,4,32,PAINN,5,2,-0.01183494,45,DONE,1255.271955,some_value,frontier03067,1611.641226
32,2,32,PAINN,3,1,-0.01183545,62,DONE,1809.742623,some_value,frontier02560,2084.265797
64,2,32,PAINN,4,1,-0.01183931,86,DONE,2543.132348,some_value,frontier02174,2852.452868
32,4,32,PAINN,3,1,-0.01188325,61,DONE,1809.569509,some_value,frontier00763,2089.999423
64,4,32,PAINN,4,1,-0.0118855,52,DONE,1540.771517,some_value,frontier02047,1856.738123
64,4,24,PAINN,4,1,-0.01189059,78,DONE,2274.843209,some_value,frontier03066,2591.471505
64,4,32,PAINN,5,2,-0.01194085,90,DONE,2661.434502,some_value,frontier02176,3018.948002
32,2,32,PAINN,5,2,-0.01202428,65,DONE,1818.369538,some_value,frontier03200,2164.769222
32,2,24,PAINN,5,1,-0.01206093,99,DONE,2963.921169,some_value,frontier03067,3309.37653
64,4,32,PAINN,3,2,-0.01210262,94,DONE,2793.832574,some_value,frontier03200,3087.438802
64,2,24,PAINN,6,1,-0.01212812,73,DONE,2090.1358,some_value,frontier00763,2472.184766
64,2,32,PAINN,3,2,-0.01215465,35,DONE,868.8787801,some_value,frontier03199,1143.389992
32,2,24,PAINN,4,1,-0.01216107,109,DONE,3309.352464,some_value,frontier02560,3620.977828
64,4,32,PAINN,3,1,-0.01237629,51,DONE,1537.151067,some_value,frontier03199,1816.099203
64,2,24,PAINN,5,2,-0.01244436,96,DONE,2852.829275,some_value,frontier02174,3201.396459
32,4,24,PAINN,4,1,-0.01253388,88,DONE,2591.618171,some_value,frontier03066,2909.627644
32,2,24,PAINN,6,1,-0.01263025,40,DONE,1142.489351,some_value,frontier02174,1522.055021
32,2,24,PAINN,4,2,-0.01270488,82,DONE,2431.304998,some_value,frontier02560,2744.72836
32,4,24,PAINN,4,2,-0.01273237,89,DONE,2644.513114,some_value,frontier03067,2963.771877
32,4,24,PAINN,6,2,-0.01277502,44,DONE,1208.833212,some_value,frontier00763,1603.108363
64,4,24,PAINN,5,1,-0.01279946,81,DONE,2378.1227,some_value,frontier00893,2731.411738
64,4,24,PAINN,3,1,-0.01286776,80,DONE,2363.928855,some_value,frontier03067,2644.359204
64,2,24,PAINN,3,2,-0.01297309,23,DONE,515.5589256,some_value,frontier02174,788.516737
32,2,32,PAINN,3,2,-0.01306632,95,DONE,2844.187319,some_value,frontier02047,3128.444766
32,2,32,PAINN,6,1,-0.01313957,74,DONE,2112.930732,some_value,frontier02047,2493.986593
64,4,24,PAINN,4,2,-0.01325717,93,DONE,2791.539956,some_value,frontier00763,3124.98485
32,4,24,PAINN,3,1,-0.0132756,92,DONE,2744.886823,some_value,frontier02560,3028.076607
32,4,32,PAINN,2,2,-0.01330317,53,DONE,1551.774438,some_value,frontier02176,1794.351429
64,2,24,PAINN,3,1,-0.01335934,114,DONE,3363.960018,some_value,frontier02047,3638.588337
32,2,32,PAINN,4,1,-0.01336029,75,DONE,2164.929528,some_value,frontier03200,2476.447598
32,2,24,PAINN,3,2,-0.0133782,72,DONE,2089.413943,some_value,frontier03067,2363.769485
32,2,24,PAINN,3,1,-0.01342676,91,DONE,2731.559,some_value,frontier00893,3005.407819
64,2,24,PAINN,4,1,-0.01344862,77,DONE,2235.563138,some_value,frontier02174,2542.960932
64,2,32,PAINN,3,1,-0.01346574,63,DONE,1815.700566,some_value,frontier03067,2089.256517
32,2,32,PAINN,2,2,-0.01356698,125,DONE,3672.295921,some_value,frontier00763,3913.916358
64,4,32,PAINN,4,2,-0.01366961,97,DONE,2878.116737,some_value,frontier03199,3199.047329
64,4,24,PAINN,3,2,-0.01374471,115,DONE,3387.282141,some_value,frontier00763,3672.146891
32,4,24,PAINN,3,2,-0.01375917,102,DONE,3028.213719,some_value,frontier02560,3309.194557
64,4,32,PAINN,2,1,-0.01380567,59,DONE,1795.534321,some_value,frontier00893,2035.871038
32,4,32,PAINN,2,1,-0.01388355,66,DONE,1856.908277,some_value,frontier02047,2112.735788
64,4,32,PAINN,2,2,-0.01388993,146,DONE,4322.762686,some_value,frontier00893,4567.478858
64,4,24,PAINN,5,2,-0.01399743,20,DONE,433.8048744,some_value,frontier02176,789.5503361
64,2,24,PAINN,4,2,-0.01401623,101,DONE,3019.09758,some_value,frontier02176,3329.737767
64,4,16,PAINN,6,2,-0.01435927,28,DONE,662.6216941,some_value,frontier03066,1055.015983
64,2,32,PAINN,6,2,-0.01441265,22,DONE,511.8258619,some_value,frontier02560,895.6257763
32,4,24,PAINN,5,2,-0.01446966,49,DONE,1463.448834,some_value,frontier03200,1818.198789
64,4,24,PAINN,2,2,-0.01464807,103,DONE,3087.587396,some_value,frontier03200,3332.921724
32,4,24,PAINN,5,1,-0.0146752,47,DONE,1443.237293,some_value,frontier00893,1795.399784
64,2,16,PAINN,6,2,-0.01471528,30,DONE,767.9376307,some_value,frontier02047,1149.594539
64,2,24,PAINN,2,2,-0.01479363,24,DONE,529.1629438,some_value,frontier02047,767.7914555
32,2,12,PAINN,6,2,-0.01485822,155,DONE,4557.744849,some_value,frontier03199,4996.239495
64,2,12,PAINN,6,1,-0.01486101,154,DONE,4520.634797,some_value,frontier02176,4996.239878
32,2,32,EGNN,4,2,-0.01496281,120,DONE,3566.465749,some_value,frontier03200,3825.334722
64,4,16,PAINN,5,2,-0.01507399,124,DONE,3638.738527,some_value,frontier02047,3996.30604
64,4,16,PAINN,3,2,-0.0151262,117,DONE,3440.642235,some_value,frontier03199,3722.60985
32,4,32,EGNN,6,2,-0.01516587,151,DONE,4457.688148,some_value,frontier03200,4996.238105
32,2,16,PAINN,6,2,-0.01526045,134,DONE,3934.105681,some_value,frontier00893,4322.583204
32,2,32,PAINN,2,1,-0.0153465,69,DONE,1999.937023,some_value,frontier02174,2235.404485
32,4,32,PAINN,3,2,-0.01542529,50,DONE,1522.215681,some_value,frontier02174,1800.228762
32,4,24,EGNN,6,1,-0.01543471,84,DONE,2476.617338,some_value,frontier03200,2793.656486
32,4,16,PAINN,3,2,-0.01561857,123,DONE,3621.133585,some_value,frontier02560,3904.502347
32,2,32,EGNN,5,2,-0.01566488,140,DONE,4130.316015,some_value,frontier02174,4417.541731
32,4,16,PAINN,6,2,-0.01576388,127,DONE,3736.035175,some_value,frontier02174,4130.153488
64,2,24,PAINN,5,1,-0.01578458,76,DONE,2212.382822,some_value,frontier03199,2559.66492
64,2,12,PAINN,5,2,-0.01582749,153,DONE,4480.152071,some_value,frontier02560,4996.239101
64,2,16,PAINN,3,2,-0.01617774,119,DONE,3553.245071,some_value,frontier03067,3828.844254
32,4,32,EGNN,5,2,-0.01627845,145,DONE,4264.856012,some_value,frontier03199,4557.583281
32,4,16,PAINN,5,2,-0.01629189,128,DONE,3737.437558,some_value,frontier03066,4093.91073
32,2,32,EGNN,5,1,-0.01645986,149,DONE,4390.865939,some_value,frontier00763,4673.348848
64,4,24,EGNN,6,1,-0.01660021,83,DONE,2472.321394,some_value,frontier00763,2791.401788
64,2,24,PAINN,2,1,-0.01678229,25,DONE,625.433017,some_value,frontier03067,863.4276743
32,4,12,PAINN,6,1,-0.01680415,0,DONE,0.059888601,some_value,frontier00763,418.8059092
64,4,24,EGNN,6,2,-0.0168067,87,DONE,2559.814594,some_value,frontier03199,2877.96683
32,2,24,EGNN,4,2,-0.01682166,147,DONE,4341.407768,some_value,frontier03066,4602.382108
32,2,24,EGNN,5,2,-0.01702854,148,DONE,4362.760536,some_value,frontier03067,4645.106861
64,2,12,PAINN,6,2,-0.01704014,150,DONE,4417.72517,some_value,frontier02174,4996.238436
32,2,16,PAINN,5,2,-0.01711255,129,DONE,3825.499759,some_value,frontier03200,4173.180765
32,4,12,PAINN,3,2,-0.01724942,3,DONE,0.060320854,some_value,frontier02174,303.0969319
64,4,16,EGNN,5,2,-0.01743976,121,DONE,3592.111174,some_value,frontier02176,3885.420753
32,4,32,EGNN,4,1,-0.01763161,118,DONE,3469.320548,some_value,frontier02174,3735.871683
64,4,16,PAINN,3,1,-0.01777578,141,DONE,4173.331713,some_value,frontier03200,4457.523351
32,4,24,PAINN,2,2,-0.01778839,98,DONE,2909.786156,some_value,frontier03066,3152.727291
32,2,12,EGNN,4,1,-0.01782496,5,DONE,0.060536385,some_value,frontier02560,284.011426
64,2,12,PAINN,2,2,-0.01786944,26,DONE,630.4789147,some_value,frontier03199,868.7319205
32,2,24,EGNN,3,2,-0.01787021,131,DONE,3885.577774,some_value,frontier02176,4124.785928
64,4,8,PAINN,6,2,-0.01790369,36,DONE,895.7590127,some_value,frontier02560,1286.891931
32,2,32,PAINN,1,2,-0.01790866,55,DONE,1605.712603,some_value,frontier02560,1809.612242
32,4,16,EGNN,6,2,-0.01805975,132,DONE,3904.660166,some_value,frontier02560,4235.096211
32,4,16,EGNN,3,2,-0.01806147,137,DONE,4094.059346,some_value,frontier03066,4341.244898
32,4,32,PAINN,1,2,-0.018098,54,DONE,1603.245293,some_value,frontier00763,1809.308325
64,2,32,PAINN,1,1,-0.01811541,58,DONE,1794.489101,some_value,frontier02176,1995.141082
64,4,24,EGNN,4,1,-0.01815589,158,DONE,4645.289522,some_value,frontier03067,4996.23867
64,4,32,PAINN,1,1,-0.01841787,57,DONE,1762.90349,some_value,frontier03066,1965.588123
32,4,24,EGNN,4,2,-0.01846296,152,DONE,4470.674833,some_value,frontier02047,4996.239303
32,4,16,EGNN,5,2,-0.01856237,130,DONE,3828.98502,some_value,frontier03067,4120.978553
64,4,16,PAINN,6,1,-0.0185721,34,DONE,863.5959671,some_value,frontier03067,1255.092902
32,2,24,PAINN,6,2,-0.01869155,43,DONE,1170.531219,some_value,frontier02176,1551.623074
64,4,16,PAINN,2,2,-0.01898167,143,DONE,4235.301169,some_value,frontier02560,4479.990654
64,2,24,PAINN,1,2,-0.01911749,21,DONE,458.6883175,some_value,frontier00893,660.2396846
32,2,32,PAINN,1,1,-0.01919498,60,DONE,1800.365303,some_value,frontier02174,1999.790522
32,2,32,EGNN,3,2,-0.01920871,138,DONE,4121.119315,some_value,frontier03067,4362.590187
32,2,16,EGNN,4,2,-0.01939937,136,DONE,3996.446539,some_value,frontier02047,4263.287055
32,4,32,PAINN,1,1,-0.01962817,56,DONE,1611.812204,some_value,frontier03067,1815.528339
32,4,16,EGNN,4,2,-0.0196287,135,DONE,3991.058732,some_value,frontier03199,4264.532368
64,4,32,EGNN,2,1,-0.01983195,15,DONE,303.1234152,some_value,frontier02174,515.4018762
32,4,16,PAINN,2,1,-0.02034237,8,DONE,0.060859919,some_value,frontier03199,265.6484997
64,4,32,SchNet,3,2,-0.02069801,110,DONE,3309.52476,some_value,frontier03067,3553.106611
64,4,16,PAINN,4,2,-0.02119344,116,DONE,3418.035987,some_value,frontier03066,3737.295778
64,4,16,PAINN,1,2,-0.02136857,142,DONE,4182.535417,some_value,frontier00763,4390.727568
64,4,32,EGNN,3,1,-0.02221452,1,DONE,0.060085297,some_value,frontier00893,264.23843
32,4,16,PAINN,1,2,-0.02223038,144,DONE,4263.432497,some_value,frontier02047,4470.510937
64,4,4,PAINN,6,2,-0.02247008,37,DONE,1054.236994,some_value,frontier00893,1443.076775
32,4,12,PAINN,6,2,-0.02286119,157,DONE,4602.553723,some_value,frontier03066,4996.238887
32,2,4,PAINN,6,2,-0.02337909,6,DONE,0.060637712,some_value,frontier03066,403.9977789
64,2,8,EGNN,4,2,-0.02498511,17,DONE,404.0240333,some_value,frontier03066,662.4771783
32,4,16,PAINN,4,2,-0.02504591,122,DONE,3617.099473,some_value,frontier00893,3933.928284
64,4,8,SchNet,2,1,-0.02513055,4,DONE,0.060429573,some_value,frontier02176,240.5825081
32,2,32,SchNet,3,1,-0.02675848,105,DONE,3128.616161,some_value,frontier02047,3363.811687
64,4,32,EGNN,5,2,-0.02690489,10,DONE,238.3596988,some_value,frontier02047,529.0039363
32,4,4,EGNN,4,2,-0.02810301,133,DONE,3914.056629,some_value,frontier00763,4182.398119
64,4,32,SchNet,2,1,-0.02860839,18,DONE,407.9818633,some_value,frontier03067,625.2992594
64,2,4,SchNet,2,2,-0.02993662,2,DONE,0.060209751,some_value,frontier02047,238.3138938
32,4,12,PAINN,5,2,-0.03014847,156,DONE,4567.620578,some_value,frontier00893,4996.23969
64,4,12,PAINN,6,2,-0.03122276,139,DONE,4124.947392,some_value,frontier02176,4520.472562
64,4,32,PNA,6,2,-0.03619016,9,DONE,0.060968161,some_value,frontier03200,393.20467
64,4,16,EGNN,4,2,-0.0368905,126,DONE,3722.95988,some_value,frontier03199,3990.889444
64,4,32,PNA,3,2,-0.03978674,108,DONE,3201.533264,some_value,frontier02174,3469.159426
64,4,32,PNA,3,1,-0.04041263,113,DONE,3351.830505,some_value,frontier00893,3616.945798
32,4,32,SchNet,3,1,-0.04122718,107,DONE,3199.207896,some_value,frontier03199,3440.470693
32,2,32,PNA,3,1,-0.04218151,104,DONE,3125.123212,some_value,frontier00763,3387.144828
64,4,8,PNA,5,2,-0.04514207,16,DONE,393.2312167,some_value,frontier03200,725.5459898
32,4,32,PNA,3,1,-0.04710839,106,DONE,3152.9191,some_value,frontier03066,3417.825431
64,2,32,PNA,3,2,-0.04727802,111,DONE,3329.886075,some_value,frontier02176,3591.971759
32,2,24,PNA,6,2,-0.04809534,31,DONE,788.6722221,some_value,frontier02174,1142.333477
32,4,32,PNA,2,2,-0.05094446,112,DONE,3333.235783,some_value,frontier03200,3566.323672
64,4,16,SchNet,1,2,-0.05499916,11,DONE,240.943718,some_value,frontier02176,433.6328058
64,2,16,PNA,2,1,-0.063147,14,DONE,284.2217321,some_value,frontier02560,511.6725185
32,4,16,PNA,6,1,-0.06922507,13,DONE,265.6750066,some_value,frontier03199,630.3317642
32,2,12,PNA,1,2,-0.07249541,12,DONE,264.264874,some_value,frontier00893,458.5136228